ObjID, ObjX, ObjY, ObjLen, ObjWidth, ObjVel, ObjCourse;
1, -31.0197, 3, 0.5, 0.5, 0, 0;
1, -31.0197, -1, 0.5, 0.5, 0, 0;
1, -31.8492, 1, 0.5, 0.5, 0, 0;
1, -31.8492, 3, 0.5, 0.5, 0, 0;
1, -31.8492, -1, 0.5, 0.5, 0, 0;
1, -32.6849, 1, 0.5, 0.5, 0, 0;
1, -32.6849, 3, 0.5, 0.5, 0, 0;
1, -32.6849, -1, 0.5, 0.5, 0, 0;
1, -33.5267, 1, 0.5, 0.5, 0, 0;
1, -33.5267, 3, 0.5, 0.5, 0, 0;
1, -33.5267, -1, 0.5, 0.5, 0, 0;
1, -34.3742, 1, 0.5, 0.5, 0, 0;
1, -34.3742, 3, 0.5, 0.5, 0, 0;
1, -34.3742, -1, 0.5, 0.5, 0, 0;
1, -35.2274, 1, 0.5, 0.5, 0, 0;
1, -35.2274, 3, 0.5, 0.5, 0, 0;
1, -35.2274, -1, 0.5, 0.5, 0, 0;
1, -36.0862, 1, 0.5, 0.5, 0, 0;
1, -36.0862, 3, 0.5, 0.5, 0, 0;
1, -36.0862, -1, 0.5, 0.5, 0, 0;
1, -36.9502, 1, 0.5, 0.5, 0, 0;
1, -36.9502, 3, 0.5, 0.5, 0, 0;
1, -36.9502, -1, 0.5, 0.5, 0, 0;
1, -37.8194, 1, 0.5, 0.5, 0, 0;
1, -37.8194, 3, 0.5, 0.5, 0, 0;
1, -37.8194, -1, 0.5, 0.5, 0, 0;
1, -38.6936, 1, 0.5, 0.5, 0, 0;
1, -38.6936, 3, 0.5, 0.5, 0, 0;
1, -38.6936, -1, 0.5, 0.5, 0, 0;
1, -39.5726, 1, 0.5, 0.5, 0, 0;
1, -39.5726, 3, 0.5, 0.5, 0, 0;
1, -39.5726, -1, 0.5, 0.5, 0, 0;
1, -40.4563, 1, 0.5, 0.5, 0, 0;
1, -40.4563, 3, 0.5, 0.5, 0, 0;
1, -40.4563, -1, 0.5, 0.5, 0, 0;
1, -41.3445, 1, 0.5, 0.5, 0, 0;
1, -41.3445, 3, 0.5, 0.5, 0, 0;
1, -41.3445, -1, 0.5, 0.5, 0, 0;
1, -42.2372, 1, 0.5, 0.5, 0, 0;
1, -42.2372, 3, 0.5, 0.5, 0, 0;
1, -42.2372, -1, 0.5, 0.5, 0, 0;
1, -43.134, 1, 0.5, 0.5, 0, 0;
1, -43.134, 3, 0.5, 0.5, 0, 0;
1, -43.134, -1, 0.5, 0.5, 0, 0;
1, -44.035, 1, 0.5, 0.5, 0, 0;
1, -44.035, 3, 0.5, 0.5, 0, 0;
1, -44.035, -1, 0.5, 0.5, 0, 0;
1, -44.94, 1, 0.5, 0.5, 0, 0;
1, -44.94, 3, 0.5, 0.5, 0, 0;
1, -44.94, -1, 0.5, 0.5, 0, 0;
1, -45.8488, 1, 0.5, 0.5, 0, 0;
1, -45.8488, 3, 0.5, 0.5, 0, 0;
1, -45.8488, -1, 0.5, 0.5, 0, 0;
1, -46.7614, 1, 0.5, 0.5, 0, 0;
1, -46.7614, 3, 0.5, 0.5, 0, 0;
1, -46.7614, -1, 0.5, 0.5, 0, 0;
1, -47.6776, 1, 0.5, 0.5, 0, 0;
1, -47.6776, 3, 0.5, 0.5, 0, 0;
1, -47.6776, -1, 0.5, 0.5, 0, 0;
1, -48.5972, 1, 0.5, 0.5, 0, 0;
1, -48.5972, 3, 0.5, 0.5, 0, 0;
1, -48.5972, -1, 0.5, 0.5, 0, 0;
1, -49.5202, 1, 0.5, 0.5, 0, 0;
1, -49.5202, 3, 0.5, 0.5, 0, 0;
1, -49.5202, -1, 0.5, 0.5, 0, 0;
1, -50.4465, 1, 0.5, 0.5, 0, 0;
1, -50.4465, 3, 0.5, 0.5, 0, 0;
1, -50.4465, -1, 0.5, 0.5, 0, 0;
1, -51.3759, 1, 0.5, 0.5, 0, 0;
1, -51.3759, 3, 0.5, 0.5, 0, 0;
1, -51.3759, -1, 0.5, 0.5, 0, 0;
1, -52.3084, 1, 0.5, 0.5, 0, 0;
1, -52.3084, 3, 0.5, 0.5, 0, 0;
1, -52.3084, -1, 0.5, 0.5, 0, 0;
1, -53.2438, 1, 0.5, 0.5, 0, 0;
1, -53.2438, 3, 0.5, 0.5, 0, 0;
1, -53.2438, -1, 0.5, 0.5, 0, 0;
1, -54.182, 1, 0.5, 0.5, 0, 0;
1, -54.182, 3, 0.5, 0.5, 0, 0;
1, -54.182, -1, 0.5, 0.5, 0, 0;
1, -55.123, 1, 0.5, 0.5, 0, 0;
1, -55.123, 3, 0.5, 0.5, 0, 0;
1, -55.123, -1, 0.5, 0.5, 0, 0;
1, -56.0666, 1, 0.5, 0.5, 0, 0;
1, -56.0666, 3, 0.5, 0.5, 0, 0;
1, -56.0666, -1, 0.5, 0.5, 0, 0;
1, -57.0128, 1, 0.5, 0.5, 0, 0;
1, -57.0128, 3, 0.5, 0.5, 0, 0;
1, -57.0128, -1, 0.5, 0.5, 0, 0;
1, -57.9615, 1, 0.5, 0.5, 0, 0;
1, -57.9615, 3, 0.5, 0.5, 0, 0;
1, -57.9615, -1, 0.5, 0.5, 0, 0;
1, -58.9125, 1, 0.5, 0.5, 0, 0;
1, -58.9125, 3, 0.5, 0.5, 0, 0;
1, -58.9125, -1, 0.5, 0.5, 0, 0;
1, -59.8659, 1, 0.5, 0.5, 0, 0;
1, -59.8659, 3, 0.5, 0.5, 0, 0;
1, -59.8659, -1, 0.5, 0.5, 0, 0;
1, -60.8214, 1, 0.5, 0.5, 0, 0;
1, -60.8214, 3, 0.5, 0.5, 0, 0;
1, -60.8214, -1, 0.5, 0.5, 0, 0;
1, -61.7791, 1, 0.5, 0.5, 0, 0;
1, -61.7791, 3, 0.5, 0.5, 0, 0;
1, -61.7791, -1, 0.5, 0.5, 0, 0;
1, -62.7389, 1, 0.5, 0.5, 0, 0;
1, -62.7389, 3, 0.5, 0.5, 0, 0;
1, -62.7389, -1, 0.5, 0.5, 0, 0;
1, -63.7006, 1, 0.5, 0.5, 0, 0;
1, -63.7006, 3, 0.5, 0.5, 0, 0;
1, -63.7006, -1, 0.5, 0.5, 0, 0;
1, -64.6643, 1, 0.5, 0.5, 0, 0;
1, -64.6643, 3, 0.5, 0.5, 0, 0;
1, -64.6643, -1, 0.5, 0.5, 0, 0;
1, -65.6297, 1, 0.5, 0.5, 0, 0;
1, -65.6297, 3, 0.5, 0.5, 0, 0;
1, -65.6297, -1, 0.5, 0.5, 0, 0;
1, -66.5966, 1, 0.5, 0.5, 0, 0;
1, -66.5966, 3, 0.5, 0.5, 0, 0;
1, -66.5966, -1, 0.5, 0.5, 0, 0;
1, -67.5649, 1, 0.5, 0.5, 0, 0;
1, -67.5649, 3, 0.5, 0.5, 0, 0;
1, -67.5649, -1, 0.5, 0.5, 0, 0;
1, -68.5343, 1, 0.5, 0.5, 0, 0;
1, -68.5343, 3, 0.5, 0.5, 0, 0;
1, -68.5343, -1, 0.5, 0.5, 0, 0;
1, -69.5045, 1, 0.5, 0.5, 0, 0;
1, -69.5045, 3, 0.5, 0.5, 0, 0;
1, -69.5045, -1, 0.5, 0.5, 0, 0;
1, -70.4752, 1, 0.5, 0.5, 0, 0;
1, -70.4752, 3, 0.5, 0.5, 0, 0;
1, -70.4752, -1, 0.5, 0.5, 0, 0;
1, -71.4463, 1, 0.5, 0.5, 0, 0;
1, -71.4463, 3, 0.5, 0.5, 0, 0;
1, -71.4463, -1, 0.5, 0.5, 0, 0;
1, -72.4175, 1, 0.5, 0.5, 0, 0;
1, -72.4175, 3, 0.5, 0.5, 0, 0;
1, -72.4175, -1, 0.5, 0.5, 0, 0;
1, -73.3884, 1, 0.5, 0.5, 0, 0;
1, -73.3884, 3, 0.5, 0.5, 0, 0;
1, -73.3884, -1, 0.5, 0.5, 0, 0;
1, -74.359, 1, 0.5, 0.5, 0, 0;
1, -74.359, 3, 0.5, 0.5, 0, 0;
1, -74.359, -1, 0.5, 0.5, 0, 0;
1, -75.3289, 1, 0.5, 0.5, 0, 0;
1, -75.3289, 3, 0.5, 0.5, 0, 0;
1, -75.3289, -1, 0.5, 0.5, 0, 0;
1, -76.2979, 1, 0.5, 0.5, 0, 0;
1, -76.2979, 3, 0.5, 0.5, 0, 0;
1, -76.2979, -1, 0.5, 0.5, 0, 0;
1, -77.2658, 1, 0.5, 0.5, 0, 0;
1, -77.2658, 3, 0.5, 0.5, 0, 0;
1, -77.2658, -1, 0.5, 0.5, 0, 0;
1, -78.2324, 1, 0.5, 0.5, 0, 0;
1, -78.2324, 3, 0.5, 0.5, 0, 0;
1, -78.2324, -1, 0.5, 0.5, 0, 0;
1, -79.1974, 1, 0.5, 0.5, 0, 0;
1, -79.1974, 3, 0.5, 0.5, 0, 0;
1, -79.1974, -1, 0.5, 0.5, 0, 0;
1, -80.1606, 1, 0.5, 0.5, 0, 0;
1, -80.1606, 3, 0.5, 0.5, 0, 0;
1, -80.1606, -1, 0.5, 0.5, 0, 0;
1, -81.1218, 1, 0.5, 0.5, 0, 0;
1, -81.1218, 3, 0.5, 0.5, 0, 0;
1, -81.1218, -1, 0.5, 0.5, 0, 0;
1, -82.0808, 1, 0.5, 0.5, 0, 0;
1, -82.0808, 3, 0.5, 0.5, 0, 0;
1, -82.0808, -1, 0.5, 0.5, 0, 0;
1, -83.0373, 1, 0.5, 0.5, 0, 0;
1, -83.0373, 3, 0.5, 0.5, 0, 0;
1, -83.0373, -1, 0.5, 0.5, 0, 0;
1, -83.9913, 1, 0.5, 0.5, 0, 0;
1, -83.9913, 3, 0.5, 0.5, 0, 0;
1, -83.9913, -1, 0.5, 0.5, 0, 0;
1, -84.9424, 1, 0.5, 0.5, 0, 0;
1, -84.9424, 3, 0.5, 0.5, 0, 0;
1, -84.9424, -1, 0.5, 0.5, 0, 0;
1, -85.8906, 1, 0.5, 0.5, 0, 0;
1, -85.8906, 3, 0.5, 0.5, 0, 0;
1, -85.8906, -1, 0.5, 0.5, 0, 0;
1, -86.8356, 1, 0.5, 0.5, 0, 0;
1, -86.8356, 3, 0.5, 0.5, 0, 0;
1, -86.8356, -1, 0.5, 0.5, 0, 0;
1, -87.7771, 1, 0.5, 0.5, 0, 0;
